Name,Year,Rating,Tags,Watched Date
Insidious: Chapter 2,2013,3.5,with lovers,07-07-2023
Glass Onion,2022,4,with lovers,02-07-2023
Inside the Mind of a Cat,2022,3.5,,25-06-2023
Mission: Impossible – Fallout,2018,4,"with rachel, with ishika",24-06-2023
7 Days in Hell,2015,3,with ishika,24-06-2023
A Goofy Movie,1995,4,with yasha,22-06-2023
Parasite,2019,5,with technical club,20-06-2023
The Taking of Deborah Logan,2014,3,with khushi,19-06-2023
The Big Sick,2017,4,,19-06-2023
Before Sunrise,1995,4.5,,17-06-2023
Dirty Dancing,1987,4,,16-06-2023
Scott Pilgrim vs. the World,2010,4,,13-06-2023
The Mitchells vs. The Machines,2021,4,"with rachel, with parnika",12-06-2023
Spider-Man: Across the Spider-Verse,2023,4.5,"with khushi, @theatre",11-06-2023
Smile,2022,2,"with ishika, with parnika, with yasha",06-06-2023
Spider-Man: Across the Spider-Verse,2023,4.5,"@theatre, with lovers, with anmol",04-06-2023
Pirates of the Caribbean: The Curse of the Black Pearl,2003,4.5,with rachel,03-06-2023
Spider-Man: Into the Spider-Verse,2018,4.5,with lovers,02-06-2023
Kingsman: The Secret Service,2014,3.5,,02-06-2023
The Dark Knight,2008,4.5,,31-05-2023
The Shining,1980,4,,31-05-2023
The Lord of the Rings: The Fellowship of the Ring,2001,4,,31-05-2023
27 Dresses,2008,4,with ishika,30-05-2023
Guardians of the Galaxy Vol. 2,2017,4.5,with ishika,24-05-2023
The Guardians of the Galaxy Holiday Special,2022,4,with ishika,24-05-2023
Eat Pray Love,2010,1.5,,23-05-2023
27 Dresses,2008,4,"with parnika, with rachel",22-05-2023
Dil Dhadakne Do,2015,4,"with haritha, with nidhi, with parnika, with rachel",21-05-2023
No Strings Attached,2011,3.5,,21-05-2023
Ponyo,2008,3.5,with rachel,20-05-2023
Everything Everywhere All at Once,2022,5,with khushi,19-05-2023
Never Been Kissed,1999,2.5,,18-05-2023
Harry Potter and the Deathly Hallows: Part 2,2011,3.5,,14-05-2023
Guardians of the Galaxy Vol. 3,2023,4.5,"with khushi, @theatre, with anmol, with rachel, with haritha, with yasha, with tanisha",14-05-2023
The Spectacular Now,2013,3,,14-05-2023
The Guardians of the Galaxy Holiday Special,2022,4,,13-05-2023
Go Goa Gone,2013,4,with khushi,13-05-2023
Tu Jhoothi Main Makkaar,2023,2,"with yasha, with technical club",12-05-2023
Obvious Child,2014,3.5,,11-05-2023
Thor: Ragnarok,2017,4,with ishika,11-05-2023
Renfield,2023,3.5,,10-05-2023
